CustomerID,CustomerName,Phone,TotalTickets
1,Tú,0999999999,2
2,Bảo,0987654321,1
3,Quân Hà,0897654321,2
4,Việt Hoàng,0986754321,3
5,Văn A,0998765432,1
6,Văn B,0988765432,3
7,Văn C,0876543210,1
8,Thị A,0912345678,1
9,Nguyễn Trung Kiên,0123456789,1
10,Văn M,0698754321,1
11,Văn N,0564789321,1
12,Quốc Tuấn,0432516789,1
13,Quốc Kang,0657894321,1
14,Sơn Tùng,0345621789,1
15,Khôi Nguyên,0981237654,1
16,Đức Tuân,0983467821,1
17,Khánh Linh,0214376859,1
18,Hoàng Linh,0476312986,1
19,Hoàng Hải,0123499876,1
20,Trà Mi,0374658932,1
21,Văn S,0432576899,1
22,Văn D,0547839451,1
23,Thị E,0435657382,1
24,Thị H,0453728856,1
25,Thị X,0555463728,1
26,Tuấn Dũng,0437277865,1
27,Mono,0645454563,1
28,Đức Dũng,0535364739,1
29,MaiLisa,0686868686,1
30,Đăng Quang,0911059106,1
